,DATETIME_ID,INIT_ERAB_SR,CSFB_SR,TRAFFIC4G,ERAB_DR,TTML,DATE,HOUR,ERAB_SR_Status,CSFB_SR_Status,ERAB_DR_Status,ENODEBS,INTRAFEQ_HO_SR,AVE_ERAB_NUM,MAX_ERAB_NUM,Data_VoLTE,VoLTE_ERAB_SR,VoLTE_ERAB_DR,VoLTE_Pkt_Lost_DL_DR,VoLTE_Pkt_Lost_UL_DR,VoLTE_IntraHO_SR,VoLTE_SRVCC_HO_SR,VoLTE_SRVCC_HO_Pre_SR,VoLTE_SRVCC_HO_Pre_SUCC,VoLTE_SRVCC_HO_Pre_ATT,VoLTE_SRVCC_HO_SR_2
0,2022060100,99.93,99.86,20271.0,0.08,Mien Trung,01/06/2022,00,1.0,1.0,1.0,6242,98.83,,,0.6658333333333335,100.0,0.0,0.01,0.04,93.33,100.0,,,,
1,2022060101,99.95,100.04,12370.9,0.07,Mien Trung,01/06/2022,01,1.0,1.0,1.0,6219,98.85,,,0.5569444444444445,100.0,0.0,0.0,0.06,100.0,100.0,,,,
2,2022060102,99.94,99.87,8802.8,0.07,Mien Trung,01/06/2022,02,1.0,1.0,1.0,6237,98.98,,,0.3111111111111111,100.0,3.23,0.0,0.02,100.0,0.0,,,,
3,2022060103,99.94,99.93,7432.5,0.07,Mien Trung,01/06/2022,03,1.0,1.0,1.0,6237,98.98,,,0.3758333333333333,100.0,0.0,0.0,0.02,100.0,100.0,,,,
4,2022060104,99.95,99.93,9067.6,0.07,Mien Trung,01/06/2022,04,1.0,1.0,1.0,6222,98.99,,,0.9208333333333334,100.0,0.0,0.01,0.02,100.0,100.0,,,,
5,2022060105,99.86,99.94,20396.2,0.11,Mien Trung,01/06/2022,05,1.0,1.0,1.0,6235,99.03,,,2.2666666666666666,98.43,0.8,0.01,0.02,100.0,0.0,,,,
6,2022060106,99.78,99.93,36687.0,0.16,Mien Trung,01/06/2022,06,1.0,1.0,1.0,6242,99.1,,,6.354166666666667,98.29,0.0,0.01,0.05,97.62,100.0,,,,
7,2022060107,99.86,99.92,43824.0,0.19,Mien Trung,01/06/2022,07,1.0,1.0,1.0,6227,99.06,,,12.54416666666667,99.54,0.47,0.02,0.06,98.83,0.0,,,,
8,2022060108,99.92,99.92,48470.7,0.22,Mien Trung,01/06/2022,08,1.0,1.0,1.0,6224,99.01,,,18.35333333333334,98.47,0.55,0.02,0.08,99.85,0.0,,,,
9,2022060109,99.93,99.91,54737.4,0.24,Mien Trung,01/06/2022,09,1.0,1.0,1.0,6227,98.98,,,23.00083333333334,98.59,0.59,0.03,0.08,99.09,0.0,,,,
