,Time,INIT_ERAB_SR
0,2022/06/01 00:00,99.93
1,2022/06/01 01:00,99.95
2,2022/06/01 02:00,99.94
3,2022/06/01 03:00,99.94
4,2022/06/01 04:00,99.95
5,2022/06/01 05:00,99.86
6,2022/06/01 06:00,99.78
7,2022/06/01 07:00,99.86
8,2022/06/01 08:00,99.92
9,2022/06/01 09:00,99.93
10,2022/06/01 10:00,99.86
11,2022/06/01 11:00,99.91
12,2022/06/01 12:00,99.93
13,2022/06/01 13:00,99.87
14,2022/06/01 14:00,99.89
15,2022/06/01 15:00,99.85
16,2022/06/01 16:00,99.89
17,2022/06/01 17:00,99.66
18,2022/06/01 18:00,99.78
19,2022/06/01 19:00,99.75
20,2022/06/01 20:00,99.92
21,2022/06/01 21:00,99.93
22,2022/06/01 22:00,99.94
23,2022/06/01 23:00,99.81
24,2022/06/02 00:00,99.75
25,2022/06/02 01:00,99.74
26,2022/06/02 02:00,99.65
27,2022/06/02 03:00,99.72
28,2022/06/02 04:00,99.64
29,2022/06/02 05:00,99.25
30,2022/06/02 06:00,99.54
31,2022/06/02 07:00,99.84
32,2022/06/02 08:00,99.8
33,2022/06/02 09:00,99.84
34,2022/06/02 10:00,99.86
35,2022/06/02 11:00,99.91
36,2022/06/02 12:00,99.87
37,2022/06/02 13:00,99.9
38,2022/06/02 14:00,99.92
39,2022/06/02 15:00,99.92
40,2022/06/02 16:00,99.93
41,2022/06/02 17:00,99.92
42,2022/06/02 18:00,99.94
43,2022/06/02 19:00,99.94
44,2022/06/02 20:00,99.83
45,2022/06/02 21:00,99.92
46,2022/06/02 22:00,99.92
47,2022/06/02 23:00,99.86
48,2022/06/03 00:00,99.81
49,2022/06/03 01:00,99.68
50,2022/06/03 02:00,99.69
51,2022/06/03 03:00,99.71
52,2022/06/03 04:00,99.62
53,2022/06/03 05:00,99.72
54,2022/06/03 06:00,99.54
55,2022/06/03 07:00,99.91
56,2022/06/03 08:00,99.92
57,2022/06/03 09:00,99.9
58,2022/06/03 10:00,99.91
59,2022/06/03 11:00,99.89
60,2022/06/03 12:00,99.92
61,2022/06/03 13:00,99.91
62,2022/06/03 14:00,99.92
63,2022/06/03 15:00,99.92
64,2022/06/03 16:00,99.92
65,2022/06/03 17:00,99.92
66,2022/06/03 18:00,99.93
67,2022/06/03 19:00,99.93
68,2022/06/03 20:00,99.93
69,2022/06/03 21:00,99.9
70,2022/06/03 22:00,99.93
71,2022/06/03 23:00,99.93
72,2022/06/04 00:00,99.88
73,2022/06/04 01:00,99.7
74,2022/06/04 02:00,99.74
75,2022/06/04 03:00,99.73
76,2022/06/04 04:00,99.84
77,2022/06/04 05:00,99.82
78,2022/06/04 06:00,99.34
79,2022/06/04 07:00,99.84
80,2022/06/04 08:00,99.82
81,2022/06/04 09:00,99.82
82,2022/06/04 10:00,99.85
83,2022/06/04 11:00,99.81
84,2022/06/04 12:00,99.87
85,2022/06/04 13:00,99.89
86,2022/06/04 14:00,99.87
87,2022/06/04 15:00,99.92
88,2022/06/04 16:00,99.9
89,2022/06/04 17:00,99.89
90,2022/06/04 18:00,99.81
91,2022/06/04 19:00,99.48
92,2022/06/04 20:00,99.85
93,2022/06/04 21:00,99.61
94,2022/06/04 22:00,99.93
95,2022/06/04 23:00,99.92
96,2022/06/05 00:00,99.9
97,2022/06/05 01:00,99.92
98,2022/06/05 02:00,99.79
99,2022/06/05 03:00,99.94
100,2022/06/05 04:00,99.93
101,2022/06/05 05:00,99.9
102,2022/06/05 06:00,99.7
103,2022/06/05 07:00,99.81
104,2022/06/05 08:00,99.84
105,2022/06/05 09:00,99.88
106,2022/06/05 10:00,99.92
107,2022/06/05 11:00,99.75
108,2022/06/05 12:00,99.8
109,2022/06/05 13:00,99.89
110,2022/06/05 14:00,99.91
111,2022/06/05 15:00,99.86
112,2022/06/05 16:00,99.88
113,2022/06/05 17:00,99.69
114,2022/06/05 18:00,99.68
115,2022/06/05 19:00,99.91
116,2022/06/05 20:00,99.92
117,2022/06/05 21:00,99.89
118,2022/06/05 22:00,99.94
119,2022/06/05 23:00,99.91
120,2022/06/06 00:00,99.92
121,2022/06/06 01:00,99.94
122,2022/06/06 02:00,99.93
123,2022/06/06 03:00,99.9
124,2022/06/06 04:00,99.94
125,2022/06/06 05:00,99.67
126,2022/06/06 06:00,99.33
127,2022/06/06 07:00,99.8
128,2022/06/06 08:00,99.88
129,2022/06/06 09:00,99.82
130,2022/06/06 10:00,99.89
131,2022/06/06 11:00,99.9
132,2022/06/06 12:00,99.9
133,2022/06/06 13:00,99.89
134,2022/06/06 14:00,99.9
135,2022/06/06 15:00,99.9
136,2022/06/06 16:00,99.91
137,2022/06/06 17:00,99.92
138,2022/06/06 18:00,99.84
139,2022/06/06 19:00,99.91
140,2022/06/06 20:00,99.92
141,2022/06/06 21:00,99.92
142,2022/06/06 22:00,99.94
143,2022/06/06 23:00,99.92
144,2022/06/07 00:00,99.62
145,2022/06/07 01:00,99.37
146,2022/06/07 02:00,99.58
147,2022/06/07 03:00,99.66
148,2022/06/07 04:00,99.26
149,2022/06/07 05:00,99.42
150,2022/06/07 06:00,99.5
151,2022/06/07 07:00,99.8
152,2022/06/07 08:00,99.89
153,2022/06/07 09:00,99.92
154,2022/06/07 10:00,99.91
155,2022/06/07 11:00,99.92
156,2022/06/07 12:00,99.85
157,2022/06/07 13:00,99.91
158,2022/06/07 14:00,99.89
159,2022/06/07 15:00,99.89
160,2022/06/07 16:00,99.9
