DATETIME_ID,CELL_NODE_ID,CELL_NAME,NODE_NAME,INIT_ERAB_SR,CSFB_SR,RRC_SUCC,RRC_ATT,S1_SUCC,S1_ATT,E_RAB_SUCC,E_RAB_ATT,CSFB_PREP_SUCC,CSFB_ATT,DISTRICT,PROVINCE,TTML,DVT,TVT,HOUR,DATE,VENDOR,REGION,ERAB_SR_Status,CSFB_SR_Status,ERAB_DR_Status,TRAFFIC4G,ERAB_DR,TOTAL_ERAB,ERAB_ABNORMAL,CONN_ESTAB_SUCC,CONN_ESTAB_ATT,RRC_SR,DKD4G,THP_VOL_DL,THP_VOL_UL,THP_TIME_UL,INTERRAT_HO_ATT,INTERRAT_HO_SUCC,INTERRAT_HO_SR,THP_TIME_DL,IPTHP_UL,IPTHP_DL,T_AVAIL,T_SAMPLE,INTRAFEQ_HO_SUCC,INTRAFEQ_HO_ATT,INTRAFEQ_HO_SR,VoLTE_ERAB_SUCC,VoLTE_ERAB_ATT,VoLTE_ERAB_DROP,VoLTE_ERAB_ASSIGN,VoLTE_Pkt_Lost_DL_Drop,VoLTE_Pkt_Lost_DL_Send,VoLTE_Pkt_Lost_UL_Lost,VoLTE_Pkt_Lost_UL_Transmitted,VoLTE_IntraHO_Succ,VoLTE_IntraHO_Att,VoLTE_SRVCC_HO_SUCC,VoLTE_SRVCC_HO_ATT,AVE_ERAB_NUM,MAX_ERAB_NUM,Data_VoLTE,pmHoExeAttSrvcc,pmHoPrepSuccSrvc,VoLTE_ERAB_SR,VoLTE_ERAB_DR,VoLTE_Pkt_Lost_DL_DR,VoLTE_Pkt_Lost_UL_DR,VoLTE_IntraHO_SR,VoLTE_SRVCC_HO_SR,VoLTE_SRVCC_HO_Pre_SR,VoLTE_SRVCC_HO_Pre_SUCC,VoLTE_SRVCC_HO_Pre_ATT,VoLTE_SRVCC_HO_SR_2
2022090200,1003,DNCL06M4BA,DNCL06,100,100,1830,1830,1830,1830,1725,1725,6,6,Cam Le,Da Nang,Mien Trung,DVT Da Nang,TVT Da Nang,0,02/09/2022,NOKIA,3,1,1,1,2.59603,0.16,1820,3,1830,1830,100,100,9968486528,333749144,124779,1,1,100,246450,2674.72,40448.31,3600,3600,263,263,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,100,0,0,0,100,100,NULL,NULL,NULL,NULL
2022090201,1003,DNCL06M4BA,DNCL06,100,NULL,1673,1673,1673,1673,1632,1632,0,0,Cam Le,Da Nang,Mien Trung,DVT Da Nang,TVT Da Nang,1,02/09/2022,NOKIA,3,1,1,1,1.58417,0,1700,0,1673,1673,100,100,6612523648,233841632,86446,5,5,100,109358,2705.06,60466.76,3600,3600,152,152,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,100,0,0,0,100,100,NULL,NULL,NULL,NULL
2022090202,1003,DNCL06M4BA,DNCL06,99.86,100,1562,1562,1562,1562,1456,1458,7,7,Cam Le,Da Nang,Mien Trung,DVT Da Nang,TVT Da Nang,2,02/09/2022,NOKIA,3,1,1,1,1.44,0,1506,0,1562,1562,100,100,4482211584,221053712,95131,1,1,100,94492,2323.68,47434.83,3600,3600,126,126,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,100,0,0,0,100,100,NULL,NULL,NULL,NULL
2022090203,1003,DNCL06M4BA,DNCL06,99.88,100,1721,1721,1721,1721,1653,1655,5,5,Cam Le,Da Nang,Mien Trung,DVT Da Nang,TVT Da Nang,3,02/09/2022,NOKIA,3,1,1,1,1.71496,0.06,1689,1,1721,1721,100,100,6608266304,277273352,94660,0,0,0,133905,2929.15,49350.41,3600,3600,84,84,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,100,0,0,0,100,100,NULL,NULL,NULL,NULL
2022090204,1003,DNCL06M4BA,DNCL06,100,100,1565,1565,1565,1565,1513,1513,4,4,Cam Le,Da Nang,Mien Trung,DVT Da Nang,TVT Da Nang,4,02/09/2022,NOKIA,3,1,1,1,0.60417,0.06,1559,1,1565,1565,100,100,2355215200,112539936,46290,1,1,100,54095,2431.19,43538.5,3600,3600,139,139,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,100,0,0,0,100,100,NULL,NULL,NULL,NULL
2022090205,1003,DNCL06M4BA,DNCL06,99.95,100,1861,1861,1860,1861,1863,1863,20,20,Cam Le,Da Nang,Mien Trung,DVT Da Nang,TVT Da Nang,5,02/09/2022,NOKIA,3,1,1,1,2.16046,0,1919,0,1861,1861,100,100,7493058816,639890472,137224,6,6,100,177134,4663.11,42301.64,3600,3600,444,445,99.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,100,0,0,0,100,100,NULL,NULL,NULL,NULL
2022090206,1003,DNCL06M4BA,DNCL06,100,98.65,2188,2188,2189,2188,2183,2184,73,74,Cam Le,Da Nang,Mien Trung,DVT Da Nang,TVT Da Nang,6,02/09/2022,NOKIA,3,1,1,1,4.6259,0.22,2260,5,2188,2188,100,100,19739448576,773428512,227682,7,7,100,390172,3396.97,50591.66,3600,3600,704,704,100,4,4,0,4,0,3480,1,4071,1,1,0,0,0.03,115,0.031944444,NULL,NULL,100,0,0,0.02,100,100,NULL,NULL,NULL,NULL
2022090207,1003,DNCL06M4BA,DNCL06,99.96,100,2662,2662,2662,2662,2756,2757,154,154,Cam Le,Da Nang,Mien Trung,DVT Da Nang,TVT Da Nang,7,02/09/2022,NOKIA,3,1,1,1,7.09351,0.28,2897,8,2662,2662,100,100,27759539200,2669931680,608305,7,7,100,752822,4389.13,36873.97,3600,3600,1043,1043,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,100,0,0,0,100,100,NULL,NULL,NULL,NULL
2022090208,1003,DNCL06M4BA,DNCL06,99.93,99.42,2872,2872,2872,2872,3042,3044,170,171,Cam Le,Da Nang,Mien Trung,DVT Da Nang,TVT Da Nang,8,02/09/2022,NOKIA,3,1,1,1,8.09329,0.25,3145,8,2872,2872,100,100,29079391744,2725127424,721413,23,23,100,1069171,3777.49,27198.07,3600,3600,1250,1251,99.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,100,0,0,0,100,100,NULL,NULL,NULL,NULL
2022090209,1003,DNCL06M4BA,DNCL06,100,100,3385,3385,3385,3385,3762,3762,179,179,Cam Le,Da Nang,Mien Trung,DVT Da Nang,TVT Da Nang,9,02/09/2022,NOKIA,3,1,1,1,9.59719,0.17,4008,7,3385,3385,100,100,36742885888,2753100640,925169,10,10,100,1270008,2975.78,28931.22,3600,3600,1444,1446,99.86,7,7,0,6,0,17679,12,20462,3,3,0,0,0.17,606,0.168333333,NULL,NULL,100,0,0,0.06,100,100,NULL,NULL,NULL,NULL
