DATETIME_ID,INIT_ERAB_SR,CSFB_SR,TRAFFIC4G,ERAB_DR,TTML,DATE,HOUR,ERAB_SR_Status,CSFB_SR_Status,ERAB_DR_Status,ENODEBS,INTRAFEQ_HO_SR,AVE_ERAB_NUM,MAX_ERAB_NUM,Data_VoLTE,VoLTE_ERAB_SR,VoLTE_ERAB_DR,VoLTE_Pkt_Lost_DL_DR,VoLTE_Pkt_Lost_UL_DR,VoLTE_IntraHO_SR,VoLTE_SRVCC_HO_SR,VoLTE_SRVCC_HO_Pre_SR,VoLTE_SRVCC_HO_Pre_SUCC,VoLTE_SRVCC_HO_Pre_ATT,VoLTE_SRVCC_HO_SR_2
2022060100,99.93,99.86,20271,0.08,Mien Trung,01/06/2022,0,1,1,1,6242,98.83,NULL,NULL,0.665833333,100,0,0.01,0.04,93.33,100,NULL,NULL,NULL,NULL
2022060101,99.95,100.04,12370.9,0.07,Mien Trung,01/06/2022,1,1,1,1,6219,98.85,NULL,NULL,0.556944444,100,0,0,0.06,100,100,NULL,NULL,NULL,NULL
2022060102,99.94,99.87,8802.8,0.07,Mien Trung,01/06/2022,2,1,1,1,6237,98.98,NULL,NULL,0.311111111,100,3.23,0,0.02,100,0,NULL,NULL,NULL,NULL
2022060103,99.94,99.93,7432.5,0.07,Mien Trung,01/06/2022,3,1,1,1,6237,98.98,NULL,NULL,0.375833333,100,0,0,0.02,100,100,NULL,NULL,NULL,NULL
2022060104,99.95,99.93,9067.6,0.07,Mien Trung,01/06/2022,4,1,1,1,6222,98.99,NULL,NULL,0.920833333,100,0,0.01,0.02,100,100,NULL,NULL,NULL,NULL
2022060105,99.86,99.94,20396.2,0.11,Mien Trung,01/06/2022,5,1,1,1,6235,99.03,NULL,NULL,2.266666667,98.43,0.8,0.01,0.02,100,0,NULL,NULL,NULL,NULL
2022060106,99.78,99.93,36687,0.16,Mien Trung,01/06/2022,6,1,1,1,6242,99.1,NULL,NULL,6.354166667,98.29,0,0.01,0.05,97.62,100,NULL,NULL,NULL,NULL
2022060107,99.86,99.92,43824,0.19,Mien Trung,01/06/2022,7,1,1,1,6227,99.06,NULL,NULL,12.54416667,99.54,0.47,0.02,0.06,98.83,0,NULL,NULL,NULL,NULL
2022060108,99.92,99.92,48470.7,0.22,Mien Trung,01/06/2022,8,1,1,1,6224,99.01,NULL,NULL,18.35333333,98.47,0.55,0.02,0.08,99.85,0,NULL,NULL,NULL,NULL
2022060109,99.93,99.91,54737.4,0.24,Mien Trung,01/06/2022,9,1,1,1,6227,98.98,NULL,NULL,23.00083333,98.59,0.59,0.03,0.08,99.09,0,NULL,NULL,NULL,NULL
2022060110,99.86,99.92,54497.8,0.25,Mien Trung,01/06/2022,10,1,1,1,6227,98.94,NULL,NULL,20.88638889,98.74,0.82,0.02,0.1,98.53,0,NULL,NULL,NULL,NULL
2022060111,99.91,99.92,62631.3,0.23,Mien Trung,01/06/2022,11,1,1,1,6228,98.91,NULL,NULL,19.62944444,98.58,0.39,0.04,0.08,99.65,0,NULL,NULL,NULL,NULL
2022060112,99.93,99.91,67505.6,0.19,Mien Trung,01/06/2022,12,1,1,1,6233,98.86,NULL,NULL,9.965555556,97.56,0.25,0.08,0.05,99.38,0,NULL,NULL,NULL,NULL
2022060113,99.87,99.93,55635.8,0.19,Mien Trung,01/06/2022,13,1,1,1,6256,98.92,NULL,NULL,10.07083333,99.16,1.68,0.04,0.06,99.17,0,NULL,NULL,NULL,NULL
2022060114,99.89,99.92,52004.6,0.21,Mien Trung,01/06/2022,14,1,1,1,6234,98.93,NULL,NULL,15.01027778,97.19,0.41,0.03,0.07,98.84,0,NULL,NULL,NULL,NULL
2022060115,99.85,99.92,49514.5,0.23,Mien Trung,01/06/2022,15,1,1,1,6227,98.96,NULL,NULL,19.62833333,97.03,0.2,0.02,0.05,99.84,0,NULL,NULL,NULL,NULL
2022060116,99.89,99.92,52280,0.22,Mien Trung,01/06/2022,16,1,1,1,6231,99,NULL,NULL,21.39861111,99.46,0.91,0.04,0.06,98.61,0,NULL,NULL,NULL,NULL
2022060117,99.66,99.91,52917.7,0.22,Mien Trung,01/06/2022,17,1,1,1,6252,99,NULL,NULL,19.22611111,99.23,0.71,0.04,0.07,99.66,0,NULL,NULL,NULL,NULL
2022060118,99.78,99.91,64029.9,0.2,Mien Trung,01/06/2022,18,1,1,1,6233,98.96,NULL,NULL,15.94472222,98.92,0.48,0.02,0.06,98.25,0,NULL,NULL,NULL,NULL
2022060119,99.75,99.92,77773.5,0.21,Mien Trung,01/06/2022,19,1,1,1,6250,98.93,NULL,NULL,14.71194444,98.87,0.26,0.03,0.1,99.63,0,NULL,NULL,NULL,NULL
2022060120,99.92,99.91,85336.6,0.2,Mien Trung,01/06/2022,20,1,1,1,6228,98.79,NULL,NULL,12.87055556,99.35,1.03,0.07,0.07,100,0,NULL,NULL,NULL,NULL
2022060121,99.93,99.92,77319.6,0.17,Mien Trung,01/06/2022,21,1,1,1,6246,98.81,NULL,NULL,8.084444444,98.52,0.56,0.03,0.21,97.46,0,NULL,NULL,NULL,NULL
2022060122,99.94,99.9,57866.1,0.12,Mien Trung,01/06/2022,22,1,1,1,6230,98.83,NULL,NULL,4.332222222,95.48,0.29,0.03,0.09,100,0,NULL,NULL,NULL,NULL
2022060123,99.81,99.92,34389.9,0.1,Mien Trung,01/06/2022,23,1,1,1,6073,98.79,NULL,NULL,1.715,97.83,0.74,0.01,0.09,100,0,NULL,NULL,NULL,NULL
2022060200,99.75,99.89,20655.1,0.08,Mien Trung,02/06/2022,0,1,1,1,6239,98.72,NULL,NULL,0.958333333,93.33,0.88,0.01,0.07,98.59,0,NULL,NULL,NULL,NULL
2022060201,99.74,99.88,12644.9,0.07,Mien Trung,02/06/2022,1,1,1,1,6228,98.7,NULL,NULL,0.408888889,92.59,0,0,0.06,100,100,NULL,NULL,NULL,NULL
2022060202,99.65,99.9,9656.5,0.07,Mien Trung,02/06/2022,2,1,1,1,6238,98.64,NULL,NULL,0.463333333,90.16,6.78,0,0.07,100,0,NULL,NULL,NULL,NULL
2022060203,99.72,99.89,7850.3,0.07,Mien Trung,02/06/2022,3,1,1,1,6235,98.69,NULL,NULL,0.505555556,84.13,0,0.02,0.05,100,100,NULL,NULL,NULL,NULL
2022060204,99.64,99.94,9737.3,0.08,Mien Trung,02/06/2022,4,1,1,1,6238,98.77,NULL,NULL,0.834722222,79.2,1,0.1,0.03,100,100,NULL,NULL,NULL,NULL
